FID,Node,Surface_El,Elevation,Dwn_Length,Dwn_Node,X,Y
445,D079145,4259.1465,4253.729833,59.859803,D080081,1531020.826,7434137.542
1,I10-D14,4262.6528,4254.2528,104.174427,I10-D11,1527947.316,7441077.767
38,I10-D8,4262.2466,4254.8466,365.588772,I10-D4,1527786.592,7441077.889
6,B7-D1,4262.9951,4254.8951,225.680632,I10-D14,1528172.994,7441076.749
832,B7-D3,4263.2407,4255.2407,92.15526,B7-D1,1528265.145,7441077.657
13,B7-D7,4263.9751,4256.2751,298.579642,B7-D3,1528563.715,7441075.353
335,D081004,4262.7246,4256.641267,4.999846,D081039,1530185.914,7432347.248
40,B7-D12,4264.4219,4257.8219,55.408809,B7-D10,1528737.518,7441074.219
266,D080057,4265.2739,4259.133,26.023662,D080049,1531836.515,7434362.799
567,D080049,4267.5508,4259.212,222.168535,D080090,1531811.863,7434354.461
814,D081005,4266.833,4260.833,591.624169,D081038,1530747.85,7432200.99
775,D068147,4267.5493,4261.263,0,LPOutfall,1532301.857,7434931.782
225,D080146,4268.1968,4261.763,0,LPOutfall,1532310.314,7434369.777
249,D068505,4271.1626,4262.832,21.188285,D068067,1532424.992,7434134.969
803,SD3729,4269.9253,4263.9253,414.182576,D081005,1530977.945,7431873.123
566,SD3728,4270.0366,4264.0366,11.445704,SD3729,1530982.582,7431862.659
527,SD3730,4271.1646,4264.1646,36.127021,SD3727,1531012.45,7431700.883
571,SD3727,4271.1997,4265.1997,128.446833,SD3728,1531004.029,7431736.015
858,D079051,4272.5776,4265.877,306.59188,D079045,1531861.92,7437895.955
857,D079052,4272.6899,4267.897,8.585067,D079051,1531861.272,7437887.395
268,D068108,4275.5107,4269.427367,27.097992,D068076,1532792.085,7434091.383
671,D081031,4276.9702,4269.7202,1.614479,D081041,1531191.277,7431169.623
227,D068162,4274.7368,4269.7368,138.899467,D068163,1532528.486,7434860.611
779,D068023,4276.1489,4270.565567,45.561386,SD6229,1532522.722,7435191.488
196,D068161,4275.8164,4271.149733,204.690249,D068162,1532527.398,7435065.298
16,B8-D4,4281.2251,4274.4251,334.018801,B8-D1,1530214.381,7441069.287
17,D078102,4281.5474,4274.9474,61.340483,B8-D4,1530275.716,7441068.47
285,D069033,4284.8853,4279.468633,89.502195,D069031,1533367.687,7433395.4
620,D082008,4286.8125,4279.8125,1050.545442,D081032,1531763.067,7430447.32
352,D082012,4287.5239,4280.5239,46.704626,D082008,1531801.487,7430420.764
564,D082017,4291.249,4286.039,385.981818,D082016,1532149.141,7430268.777
219,D068153,4296.936,4293.019333,375.352604,D068030,1533404.05,7435277.895
561,D070039,4307.3008,4300.3008,454.852723,D070041,1532933.333,7429573.233
191,D068149,4310.7842,4304.992533,426.291711,D068153,1533830.335,7435275.514
752,SD6069,4314.1968,4305.2968,605.862367,D070039,1533343.698,7429160.127
673,SD215,4311.3647,4305.948033,176.901568,D069103,1534369.166,7432577.448
691,SD5540,4319.0005,4312.7505,4.070744,D055076,1534988.208,7432313.981
751,D070094,4322.3247,4312.8547,495.463248,SD6069,1533749.915,7428926.986
661,D070127,4322.6177,4314.3377,231.210444,SD3425,1533883.539,7428714.99
371,D070120,4327.9917,4317.9917,240.915626,D070127,1534116.277,7428737.789
670,SD149,4325.0278,4318.194467,121.284703,D055077,1535350.935,7432209.457
443,D068019,4322.8462,4318.554533,122.499433,D068128,1534273.539,7435299.005
773,D055094,4325.7324,4318.899067,73.608891,SD149,1535377.757,7432140.909
664,SD3425,4322.9878,4319.321133,23.871661,D070094,1533759.414,7428905.086
834,D070101,4331.2793,4321.695967,18.621244,D070102,1534196.921,7428746.519
833,D070102,4331.2661,4322.6961,62.511776,D070120,1534178.344,7428745.227
668,D055095,4331.2183,4323.884967,274.255594,D055094,1535602.122,7432028.056
372,D070116,4334.7383,4325.071633,57.662055,D070117,1534542.768,7428688.55
373,D070104,4334.7983,4325.381633,37.258922,D070115,1534569.75,7428589.547
777,D055179,4333.563,4327.479667,35.340806,D055110,1535779.946,7431868.087
386,D070118,4335.1108,4327.9608,10.363154,D070104,1534579.997,7428587.994
387,D070119,4337.2593,4328.5093,141.171055,D070118,1534702.101,7428517.143
776,D055216,4339.7632,4334.5132,150.188552,D055135,1535778.197,7431432.394
374,D056089,4341.3579,4334.8579,22.036573,D056092,1534949.849,7428458.567
419,D057019,4344.7871,4337.2871,22.546386,D057152,1534995.536,7428187.8
418,D057020,4348.125,4338.791667,180.387333,D057019,1535175.59,7428176.839
767,SD6104,4349.814,4341.399902,94.116103,D057020,1535267.735,7428157.677
404,D057048,4351.8398,4341.8398,91.786615,D057002,1535405.138,7428131.387
781,D055213,4346.5342,4342.2842,344.944915,D055216,1535856.605,7431108.907
821,D066128,4347.1387,4342.799805,67.463442,B10-D4,1533446.358,7441060.187
824,D066112,4354.6963,4342.799805,258.765145,D066128,1533705.122,7441059.345
444,D054046,4353.8281,4343,149.793317,D054028,1535269.152,7435293.518
816,D057047,4354.4702,4344.4702,87.109934,D057048,1535492.114,7428126.558
753,D057002,4350.2759,4345.2759,48.111365,SD6104,1535314.92,7428148.281
663,D056017,4356.5669,4347.3169,435.705041,D055213,1535886.928,7430676.087
574,D057003,4355.8032,4347.8032,177.624393,D057501,1535706.217,7428127.484
656,D056018,4356.5742,4347.8242,4.188,D056017,1535889.631,7430672.888
817,SD177,4359.2852,4356.5,152.959713,D066112,1533858.081,7441058.871
818,B10-D13,4360.0112,4356.5,21.21799,SD177,1533879.298,7441058.779
819,B10-D14,4364.0435,4356.5,126.681759,B10-D13,1534005.979,7441058.367
573,D057079,4367.7129,4360.129567,558.815393,SD163,1536276.864,7427816.393
820,D066019,4367.3057,4360.5,131.544188,B10-D14,1534137.52,7441057.45
651,D053069,4403.3174,4396.521,174.273661,D053067,1535830.12,7437873.063
